Maninjau2 Suhu,02/12/2020,4:48:51 PM,,,,,,,,,,,,,,,,,,,,
Date,Time,-1m,0m,2m,4m,6m,8m,10m,12m,14m,16m,18m,20m,22m,28m,30m,40m,42m,50m,52m,60m,62m
13/01/2020, 07:10:14,24.8125,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2965,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:15:14,24.875,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:20:14,24.8125,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2965,27.2268,27.0865,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:25:14,25,27.9735,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.348,27.2868,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:35:15,25.5625,27.9735,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.2868,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:40:14,25.6875,27.9735,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.3578,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:45:13,25.8125,28.0355,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.3578,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:50:13,25.875,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 07:55:13,26.1875,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.3578,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:00:13,26.1875,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.3578,27.2268,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:05:14,26.6875,28.0355,27.9,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.3578,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:20:14,28.625,28.0976,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:30:14,28.75,28.1597,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:35:14,28,28.2217,27.8379,27.5914,27.5464,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 08:50:14,27.875,28.3458,27.7759,27.5914,27.6083,27.6024,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 09:00:13,28.8125,28.4699,27.7759,27.5914,27.6083,27.6024,27.4576,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 09:15:16,28.4375,28.594,27.7759,27.5914,27.6083,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 09:50:14,28.1875,28.9043,27.7759,27.6529,27.6083,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 09:55:14,28.25,28.9664,27.7759,27.6529,27.6083,27.5406,27.3957,27.3388,27.348,27.3484,27.3209,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:00:13,28.5625,28.9664,27.7759,27.6529,27.6083,27.5406,27.3957,27.3388,27.348,27.3484,27.3209,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:05:13,28.875,28.9664,27.7759,27.6529,27.6083,27.5406,27.3957,27.3388,27.348,27.3484,27.3209,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:15:13,29.125,29.0284,27.7139,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:20:13,29.375,29.0905,27.7139,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:25:14,29.8125,29.1526,27.7139,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:30:14,30.875,29.2767,27.7139,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.3484,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:35:14,30.875,29.3387,27.7759,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 10:45:14,30.75,29.4628,27.7759,27.6529,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:00:14,31,29.5869,27.7759,27.7145,27.6702,27.5406,27.3957,27.3388,27.348,27.2868,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:05:14,31.125,29.649,27.7759,27.7145,27.6702,27.5406,27.3957,27.3388,27.348,27.3484,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:10:14,30.9375,29.7111,27.8379,27.7145,27.7321,27.5406,27.3957,27.3388,27.348,27.3484,27.2593,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:15:13,30.875,29.7731,27.7759,27.7145,27.7321,27.5406,27.3957,27.3388,27.4099,27.2868,27.2593,27.1738,27.1651,26.903,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:20:13,30.625,29.7731,27.8379,27.7145,27.7321,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:25:13,30.5,29.7731,27.8379,27.7145,27.7321,27.5406,27.3957,27.4006,27.4099,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:45:14,31.6875,29.8972,27.962,27.7145,27.7321,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.1738,27.1651,26.903,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:50:14,31.4375,29.9593,28.024,27.7145,27.7321,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.1738,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 11:55:14,31.75,30.0834,28.086,27.7145,27.7321,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:05:14,31.8125,30.1455,28.1481,27.7145,27.7321,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.1738,27.1651,26.903,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:10:14,31.375,30.2075,28.086,27.7145,27.6702,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.1738,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:15:14,32,30.2696,28.086,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:20:14,31.9375,30.3316,28.086,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:25:13,32.5625,30.3937,28.086,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:30:13,32.25,30.5178,28.1481,27.7145,27.6083,27.5406,27.3957,27.4006,27.4099,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:35:13,32.5625,30.5178,28.1481,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 12:50:14,32.5,30.6419,27.9,27.7145,27.6083,27.5406,27.3957,27.4006,27.4099,27.3484,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:00:14,32.4375,30.766,27.9,27.7145,27.6083,27.5406,27.3957,27.4006,27.4099,27.3484,27.2593,27.2351,27.1651,26.903,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:05:14,32.8125,30.766,27.962,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.3484,27.2593,27.2351,27.1651,26.9642,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:10:14,33,30.8281,27.962,27.7145,27.6083,27.5406,27.3957,27.4006,27.348,27.3484,27.2593,27.2351,27.1651,26.9642,26.9353,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:20:14,32.6875,30.8281,28.024,27.7145,27.6083,27.5406,27.3957,27.4006,27.4099,27.3484,27.3209,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:25:14,32.375,30.766,28.086,27.6529,27.6083,27.5406,27.3957,27.4006,27.4099,27.3484,27.3209,27.2351,27.1651,26.9642,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:30:14,31.8125,30.766,28.086,27.7145,27.6702,27.5406,27.3957,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 13:35:13,31.75,30.8281,28.086,27.7145,27.6702,27.5406,27.4576,27.4006,27.4099,27.3484,27.3209,27.2351,27.1651,27.0253,26.996,99.9999,99.9999,99.9999,0,0,0
